GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sudoku_solver,dk.dtu.view,MainMenu,322,0,0,0,61,0,15,0,15,0
sudoku_solver,dk.dtu.view,GameSettingsMenu,1438,0,10,0,311,0,32,0,27,0
sudoku_solver,dk.dtu.view,GameRulesMenu,147,0,0,0,33,0,5,0,5,0
sudoku_solver,dk.dtu.view,Leaderboard,493,0,36,0,112,0,30,0,12,0
sudoku_solver,dk.dtu,Main,29,0,0,0,11,0,2,0,2,0
sudoku_solver,dk.dtu.view.easy,Board4x4,91,0,0,0,2,0,2,0,2,0
sudoku_solver,dk.dtu.view.easy,SudokuBoard4x4,203,0,0,0,47,0,10,0,10,0
sudoku_solver,dk.dtu.view.easy,BasicBoard4x4,644,0,78,0,112,0,49,0,10,0
sudoku_solver,dk.dtu.controller,ValidBoardGen,3,154,0,16,1,17,1,9,1,1
sudoku_solver,dk.dtu.controller,SudokuButton,27,0,2,0,10,0,6,0,5,0
sudoku_solver,dk.dtu.controller,Checker,132,129,28,24,22,21,19,14,3,4
sudoku_solver,dk.dtu.controller,LogicSolver,3,492,0,46,1,79,1,30,1,7
sudoku_solver,dk.dtu.controller,EasyChecker,157,0,30,0,30,0,21,0,6,0
sudoku_solver,dk.dtu.controller,Permutations,35,811,7,61,5,117,6,38,1,8
sudoku_solver,dk.dtu.controller,PuzzleGenerator,35,732,16,56,8,127,15,30,2,7
sudoku_solver,dk.dtu.controller,BasicBoard,1121,32,128,2,212,10,75,3,11,2
sudoku_solver,dk.dtu.view.campaign,SudokuCampaign,482,0,8,0,104,0,18,0,14,0
sudoku_solver,dk.dtu.view.campaign,CampaignBoard,376,0,0,0,2,0,2,0,2,0
sudoku_solver,dk.dtu.view.campaign,CampaignMenu,131,0,4,0,39,0,5,0,3,0
sudoku_solver,dk.dtu.model,dummy_slet,3,0,0,0,1,0,1,0,1,0
sudoku_solver,dk.dtu.view.medium,SudokuBoard.Mode,15,0,0,0,2,0,1,0,1,0
sudoku_solver,dk.dtu.view.medium,SudokuBoard,487,0,8,0,114,0,18,0,14,0
sudoku_solver,dk.dtu.view.samurai,SudokuSamuraiBoard,240,0,0,0,52,0,9,0,9,0
sudoku_solver,dk.dtu.view.samurai,SamuraiBasicBoard,251,0,8,0,42,0,8,0,4,0
